Year,Month,Anomaly,Date,Max,Min
1779,1,-1.857,1779-1,,
1779,2,1.363,1779-2,,
1779,3,1.093,1779-3,,
1779,4,1.296,1779-4,,
1779,5,2.487,1779-5,,
1779,6,-1.472,1779-6,,
1779,7,-1.17,1779-7,,
1779,8,-0.128,1779-8,,
1779,9,0.664,1779-9,,
1779,10,0.251,1779-10,,
1779,11,-0.055,1779-11,,
1779,12,-1.035,1779-12,,
1780,1,-0.122,1780-1,,
1780,2,0.658,1780-2,,
1780,3,-0.103,1780-3,,
1780,4,4.933,1780-4,,
1780,5,3.246,1780-5,,
1780,6,0.308,1780-6,,
1780,7,1.116,1780-7,,
1780,8,-0.918,1780-8,,
1780,9,-2.64,1780-9,,
1780,10,0.37,1780-10,,
1780,11,0.052,1780-11,,
1780,12,-1.361,1780-12,,
1781,1,0.018,1781-1,,
1781,2,-0.969,1781-2,,
1781,3,-0.517,1781-3,,
1781,4,-1.357,1781-4,,
1781,5,-0.248,1781-5,,
1781,6,-1.899,1781-6,,
1781,7,-0.182,1781-7,,
1781,8,0.354,1781-8,,
1781,9,-1.797,1781-9,,
1781,10,-0.545,1781-10,,
1781,11,1.456,1781-11,,
1781,12,-0.174,1781-12,,
1782,1,-2.037,1782-1,,
1782,2,-2.191,1782-2,,
1782,3,-2.482,1782-3,,
1782,4,0.248,1782-4,,
1782,5,0.116,1782-5,,
1782,6,0.259,1782-6,,
1782,7,-0.5,1782-7,,
1782,8,1.436,1782-8,,
1782,9,0.41,1782-9,,
1782,10,-0.678,1782-10,,
1782,11,-1.155,1782-11,,
1782,12,-1.363,1782-12,,
1783,1,-3.223,1783-1,,
1783,2,1.469,1783-2,,
1783,3,-0.93,1783-3,,
1783,4,-0.086,1783-4,,
1783,5,0.512,1783-5,,
1783,6,1.205,1783-6,,
1783,7,-1.007,1783-7,,
1783,8,-0.242,1783-8,,
1783,9,-2.489,1783-9,,
1783,10,-1.599,1783-10,,
1783,11,-3.481,1783-11,,
1783,12,-0.819,1783-12,,
1784,1,-0.354,1784-1,,
1784,2,-1.895,1784-2,,
1784,3,-1.07,1784-3,,
1784,4,-0.243,1784-4,,
1784,5,-1.725,1784-5,,
1784,6,-0.373,1784-6,,
1784,7,0.159,1784-7,,
1784,8,0.922,1784-8,,
1784,9,-2.009,1784-9,,
1784,10,-2.168,1784-10,,
1784,11,-1.899,1784-11,,
1784,12,-0.114,1784-12,,
1785,1,-1.261,1785-1,,
1785,2,-2.029,1785-2,,
1785,3,-2.619,1785-3,,
1785,4,-1.907,1785-4,,
1785,5,-1.443,1785-5,,
1785,6,0.341,1785-6,,
1785,7,-0.009,1785-7,,
1785,8,0.535,1785-8,,
1785,9,-1.55,1785-9,,
1785,10,-1.06,1785-10,,
1785,11,-0.538,1785-11,,
1785,12,-1.916,1785-12,,
1786,1,-1.819,1786-1,,
1786,2,-0.734,1786-2,,
1786,3,0.558,1786-3,,
1786,4,0.834,1786-4,,
1786,5,0.293,1786-5,,
1786,6,-0.122,1786-6,,
1786,7,0.848,1786-7,,
1786,8,0.562,1786-8,,
1786,9,0.062,1786-9,,
1786,10,-0.674,1786-10,,
1786,11,-1.097,1786-11,,
1786,12,-2.627,1786-12,,
1787,1,-0.131,1787-1,,
1787,2,-0.722,1787-2,,
1787,3,-0.578,1787-3,,
1787,4,-0.67,1787-4,,
1787,5,0.046,1787-5,,
1787,6,0.919,1787-6,,
1787,7,-0.987,1787-7,,
1787,8,-0.492,1787-8,,
1787,9,-1.807,1787-9,,
1787,10,-1.241,1787-10,,
1787,11,-0.882,1787-11,,
1787,12,-0.908,1787-12,,
1788,1,-2.431,1788-1,,
1788,2,0.368,1788-2,,
1788,3,-0.666,1788-3,,
1788,4,-0.001,1788-4,,
1788,5,-0.648,1788-5,,
1788,6,0.272,1788-6,,
1788,7,1.881,1788-7,,
1788,8,0.419,1788-8,,
1788,9,-0.338,1788-9,,
1788,10,0.235,1788-10,,
1788,11,0.349,1788-11,,
1788,12,-2.375,1788-12,,
1789,1,0.902,1789-1,,
1789,2,-1.165,1789-2,,
1789,3,-0.889,1789-3,,
1789,4,-0.658,1789-4,,
1789,5,-0.04,1789-5,,
1789,6,-0.233,1789-6,,
1789,7,0.767,1789-7,,
1789,8,-0.363,1789-8,,
1789,9,-0.194,1789-9,,
1789,10,-1.349,1789-10,,
1789,11,0.453,1789-11,,
1789,12,0.004,1789-12,,
1790,1,0.113,1790-1,,
1790,2,-0.137,1790-2,,
1790,3,-0.725,1790-3,,
1790,4,-1.304,1790-4,,
1790,5,-0.871,1790-5,,
1790,6,-0.092,1790-6,,
1790,7,-0.86,1790-7,,
1790,8,-0.286,1790-8,,
1790,9,-0.927,1790-9,,
1790,10,-0.598,1790-10,,
1790,11,-0.721,1790-11,,
1790,12,-0.708,1790-12,,
1791,1,-0.362,1791-1,,
1791,2,-0.159,1791-2,,
1791,3,-0.545,1791-3,,
1791,4,0.644,1791-4,,
1791,5,-1.271,1791-5,,
1791,6,-0.384,1791-6,,
1791,7,-0.953,1791-7,,
1791,8,-0.269,1791-8,,
1791,9,-0.49,1791-9,,
1791,10,-1.2,1791-10,,
1791,11,-0.122,1791-11,,
1791,12,-0.32,1791-12,,
1792,1,-2.117,1792-1,,
1792,2,0.355,1792-2,,
1792,3,-0.828,1792-3,,
1792,4,-0.312,1792-4,,
1792,5,0.164,1792-5,,
1792,6,0.255,1792-6,,
1792,7,0.1,1792-7,,
1792,8,-1.44,1792-8,,
1792,9,0.296,1792-9,,
1792,10,-1.333,1792-10,,
1792,11,-0.995,1792-11,,
1792,12,-0.153,1792-12,,
1793,1,-1.258,1793-1,,
1793,2,1.522,1793-2,,
1793,3,0.159,1793-3,,
1793,4,0.581,1793-4,,
1793,5,-0.253,1793-5,,
1793,6,-0.124,1793-6,,
1793,7,-0.122,1793-7,,
1793,8,-0.627,1793-8,,
1793,9,-0.455,1793-9,,
1793,10,-0.884,1793-10,,
1793,11,-0.629,1793-11,,
1793,12,-1.624,1793-12,,
1794,1,1.201,1794-1,,
1794,2,0.022,1794-2,,
1794,3,0.982,1794-3,,
1794,4,0.511,1794-4,,
1794,5,1.144,1794-5,,
1794,6,-1.249,1794-6,,
1794,7,-1.457,1794-7,,
1794,8,-0.311,1794-8,,
1794,9,0.498,1794-9,,
1794,10,-0.088,1794-10,,
1794,11,-0.198,1794-11,,
1794,12,-0.252,1794-12,,
1795,1,0.683,1795-1,,
1795,2,1.53,1795-2,,
1795,3,0.772,1795-3,,
1795,4,1.047,1795-4,,
1795,5,0.709,1795-5,,
1795,6,-0.889,1795-6,,
1795,7,0.39,1795-7,,
1795,8,0.01,1795-8,,
1795,9,-1.585,1795-9,,
1795,10,-1.137,1795-10,,
1795,11,-0.384,1795-11,,
1795,12,0.2,1795-12,,
1796,1,0.891,1796-1,,
1796,2,0.339,1796-2,,
1796,3,-2.102,1796-3,,
1796,4,-0.785,1796-4,,
1796,5,-0.117,1796-5,,
1796,6,0.938,1796-6,,
1796,7,-0.174,1796-7,,
1796,8,0.698,1796-8,,
1796,9,-0.171,1796-9,,
1796,10,-0.389,1796-10,,
1796,11,-0.636,1796-11,,
1796,12,-2.182,1796-12,,
1797,1,1.839,1797-1,,
1797,2,2.33,1797-2,,
1797,3,-0.871,1797-3,,
1797,4,-1.453,1797-4,,
1797,5,-0.627,1797-5,,
1797,6,0.378,1797-6,,
1797,7,-0.533,1797-7,,
1797,8,0.192,1797-8,,
1797,9,0.185,1797-9,,
1797,10,-0.114,1797-10,,
1797,11,-1.081,1797-11,,
1797,12,-0.31,1797-12,,
1798,1,-0.058,1798-1,,
1798,2,0.228,1798-2,,
1798,3,1.651,1798-3,,
1798,4,-0.936,1798-4,,
1798,5,-0.181,1798-5,,
1798,6,-0.38,1798-6,,
1798,7,0.122,1798-7,,
1798,8,0.672,1798-8,,
1798,9,-0.787,1798-9,,
1798,10,-0.663,1798-10,,
1798,11,-0.199,1798-11,,
1798,12,-1.72,1798-12,,
1799,1,-0.554,1799-1,,
1799,2,-1.364,1799-2,,
1799,3,-1.998,1799-3,,
1799,4,0.182,1799-4,,
1799,5,-0.115,1799-5,,
1799,6,-0.176,1799-6,,
1799,7,-0.068,1799-7,,
1799,8,-0.3,1799-8,,
1799,9,-0.135,1799-9,,
1799,10,0.05,1799-10,,
1799,11,-0.123,1799-11,,
1799,12,-0.967,1799-12,,
1800,1,-0.303,1800-1,,
1800,2,-0.37,1800-2,,
1800,3,-0.636,1800-3,,
1800,4,0.408,1800-4,,
1800,5,-0.436,1800-5,,
1800,6,-0.087,1800-6,,
1800,7,-0.773,1800-7,,
1800,8,-0.318,1800-8,,
1800,9,-1.048,1800-9,,
1800,10,0.096,1800-10,,
1800,11,-0.454,1800-11,,
1800,12,-0.262,1800-12,,
1801,1,0.427,1801-1,,
1801,2,0.667,1801-2,,
1801,3,1.076,1801-3,,
1801,4,-1.273,1801-4,,
1801,5,0.447,1801-5,,
1801,6,-0.701,1801-6,,
1801,7,-0.176,1801-7,,
1801,8,-1.027,1801-8,,
1801,9,-0.426,1801-9,,
1801,10,0.836,1801-10,,
1801,11,-0.636,1801-11,,
1801,12,0.63,1801-12,,
1802,1,1.332,1802-1,,
1802,2,0.529,1802-2,,
1802,3,0.212,1802-3,,
1802,4,-0.107,1802-4,,
1802,5,-0.884,1802-5,,
1802,6,0.147,1802-6,,
1802,7,-0.152,1802-7,,
1802,8,-0.454,1802-8,,
1802,9,-0.029,1802-9,,
1802,10,0.061,1802-10,,
1802,11,-0.974,1802-11,,
1802,12,-0.615,1802-12,,
1803,1,-1.671,1803-1,,
1803,2,-1.262,1803-2,,
1803,3,-0.231,1803-3,,
1803,4,0.736,1803-4,,
1803,5,0.075,1803-5,,
1803,6,0.263,1803-6,,
1803,7,0.261,1803-7,,
1803,8,0.828,1803-8,,
1803,9,0.185,1803-9,,
1803,10,0.665,1803-10,,
1803,11,-0.298,1803-11,,
1803,12,-0.943,1803-12,,
1804,1,-0.171,1804-1,,
1804,2,-1.207,1804-2,,
1804,3,-1.035,1804-3,,
1804,4,1.12,1804-4,,
1804,5,0.792,1804-5,,
1804,6,0.189,1804-6,,
1804,7,1.286,1804-7,,
1804,8,0.377,1804-8,,
1804,9,0.333,1804-9,,
1804,10,0.007,1804-10,,
1804,11,0.838,1804-11,,
1804,12,-1.057,1804-12,,
1805,1,0.333,1805-1,,
1805,2,-0.507,1805-2,,
1805,3,0.488,1805-3,,
1805,4,-0.189,1805-4,,
1805,5,-0.102,1805-5,,
1805,6,0.687,1805-6,,
1805,7,0.302,1805-7,,
1805,8,1.269,1805-8,,
1805,9,-0.03,1805-9,,
1805,10,-1.501,1805-10,,
1805,11,-1.722,1805-11,,
1805,12,0.603,1805-12,,
1806,1,0.349,1806-1,,
1806,2,-0.276,1806-2,,
1806,3,-0.61,1806-3,,
1806,4,-0.419,1806-4,,
1806,5,0.272,1806-5,,
1806,6,-1.049,1806-6,,
1806,7,-0.455,1806-7,,
1806,8,0.598,1806-8,,
1806,9,0.356,1806-9,,
1806,10,-0.855,1806-10,,
1806,11,-0.94,1806-11,,
1806,12,0.379,1806-12,,
1807,1,-1.629,1807-1,,
1807,2,0.158,1807-2,,
1807,3,-0.607,1807-3,,
1807,4,-1.428,1807-4,,
1807,5,-2.034,1807-5,,
1807,6,-0.099,1807-6,,
1807,7,-0.127,1807-7,,
1807,8,-0.423,1807-8,,
1807,9,0.539,1807-9,,
1807,10,-0.21,1807-10,,
1807,11,0.129,1807-11,,
1807,12,0.865,1807-12,,
1808,1,-1.427,1808-1,,
1808,2,-0.993,1808-2,,
1808,3,-1.034,1808-3,,
1808,4,-0.957,1808-4,,
1808,5,-1.94,1808-5,,
1808,6,-0.191,1808-6,,
1808,7,0.18,1808-7,,
1808,8,-0.678,1808-8,,
1808,9,0.793,1808-9,,
1808,10,-1.253,1808-10,,
1808,11,-1.523,1808-11,,
1808,12,-2.634,1808-12,,
1809,1,-2.193,1809-1,,
1809,2,-2.255,1809-2,,
1809,3,-1.933,1809-3,,
1809,4,-0.577,1809-4,,
1809,5,-1.8,1809-5,,
1809,6,-0.433,1809-6,,
1809,7,-1.626,1809-7,,
1809,8,-0.784,1809-8,,
1809,9,-0.972,1809-9,,
1809,10,-0.503,1809-10,,
1809,11,-2.787,1809-11,,
1809,12,-1.575,1809-12,,
1810,1,-1.499,1810-1,,
1810,2,-0.595,1810-2,,
1810,3,-0.483,1810-3,,
1810,4,-1.813,1810-4,,
1810,5,-2.121,1810-5,,
1810,6,-1.52,1810-6,,
1810,7,-1.533,1810-7,,
1810,8,-1.586,1810-8,,
1810,9,-2.325,1810-9,,
1810,10,-2.156,1810-10,,
1810,11,-1.875,1810-11,,
1810,12,-0.828,1810-12,,
1811,1,-1.329,1811-1,,
1811,2,-2.495,1811-2,,
1811,3,-1.431,1811-3,,
1811,4,-1.786,1811-4,,
1811,5,-1.292,1811-5,,
1811,6,-1.046,1811-6,,
1811,7,-2.148,1811-7,,
1811,8,-0.452,1811-8,,
1811,9,-1.621,1811-9,,
1811,10,-2.166,1811-10,,
1811,11,-2.259,1811-11,,
1811,12,0.151,1811-12,,
1812,1,-1.358,1812-1,,
1812,2,-2.965,1812-2,,
1812,3,-3.016,1812-3,,
1812,4,-1.449,1812-4,,
1812,5,-1.807,1812-5,,
1812,6,-1.636,1812-6,,
1812,7,-0.075,1812-7,,
1812,8,1.313,1812-8,,
1812,9,-1.858,1812-9,,
1812,10,-1.502,1812-10,,
1812,11,-1.517,1812-11,,
